"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.minutissimum.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",405.556768542294,414.756683629319,0.0137,NA,13,5,25.597,25.647,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Achnanthidium.minutissimum.K+waterT","K+waterT","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",405.942942368246,415.142857455272,0.02138,NA,13,4,25.983,26.034,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",406.140275177677,414.462431356475,0.25082,NA,9,3,26.18,25.353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.bare_rock","bare_rock","s(bare_rock, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",406.228938536102,414.5510947149,0.11659,NA,9,3,26.269,25.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Achnanthidium.minutissimum.K+Mg","K+Mg","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",406.472350163849,415.672265250874,0.00247,NA,13,4,26.512,26.563,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Mg+waterT","Mg+waterT","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",406.594322642403,415.794237729428,0.03235,NA,13,3,26.634,26.685,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",406.920688671393,415.24284485019,0.00374,NA,9,2,26.96,26.134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Achnanthidium.minutissimum.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",407.034951724463,415.35710790326,0.01352,NA,9,3,27.075,26.248,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Achnanthidium.minutissimum.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",407.083478523954,415.405634702752,0.02026,NA,9,2,27.123,26.296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",407.66398267639,415.986138855188,0.00385,NA,9,2,27.704,26.877,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.K","K","s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",408.08966052632,416.411816705118,0.00288,NA,9,2,28.129,27.302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.waterT","waterT","s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",408.166267792029,416.488423970826,0.02903,NA,9,2,28.206,27.379,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Mg","Mg","s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",408.905599192954,417.227755371751,0.00753,NA,9,2,28.945,28.118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.null","null","s(Latitude, Longitude, k = 5)",411.130466384952,417.810157773169,0.00736,NA,5,0,31.17,28.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.360265137248,404.50936770393,0.35569,NA,17,8,0,0,0.117,0.117,1,0,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.854953417432,405.004055984113,0.32216,NA,17,9,0.495,0.495,0.092,0.092,1,0,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.916772349672,405.065874916353,0.32736,NA,17,9,0.557,0.557,0.089,0.089,1,0,0,0,1,0,0,0,0,0,0,1,0
"Aulacoseira.alpigena.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.221199694699,405.370302261381,0.20346,NA,17,5,0.861,0.861,0.076,0.076,0,0,0,0,1,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.689620054399,405.83872262108,0.216,NA,17,5,1.329,1.329,0.06,0.06,0,0,1,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.212720792933,406.361823359615,0.25164,NA,17,7,1.852,1.852,0.046,0.046,0,0,0,0,1,0,0,0,1,1,0,0,0
"Aulacoseira.alpigena.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.430384791751,406.630299878777,0.35182,NA,13,6,2.07,2.121,0.042,0.041,1,0,0,0,0,1,0,0,0,0,0,0,0
"Aulacoseira.alpigena.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.490252786086,406.639355352767,0.20391,NA,17,5,2.13,2.13,0.04,0.04,0,1,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.696995276302,406.896910363328,0.32124,NA,13,6,2.337,2.388,0.036,0.036,1,0,0,0,1,0,0,0,0,0,0,0,0
"Aulacoseira.alpigena.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.921733791512,407.121648878538,0.31465,NA,13,5,2.561,2.612,0.033,0.032,1,0,0,0,0,0,0,0,1,0,0,0,0
"Aulacoseira.alpigena.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",398.004271238125,407.153373804807,0.02273,NA,17.34,8,2.644,2.644,0.031,0.031,0,0,0,0,1,0,0,0,0,1,0,1,0
"Aulacoseira.alpigena.mix_event+Zmax_m","mix_event+Zmax_m","s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",398.019646422019,407.219561509044,0.20305,NA,13,3,2.659,2.71,0.031,0.03,0,0,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.Ca+wetland","Ca+wetland","s(Ca, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",398.023263555258,407.223178642283,0.32345,NA,13,7,2.663,2.714,0.031,0.03,1,0,0,0,0,0,0,0,0,0,0,1,0
"Aulacoseira.alpigena.K+secchi_m+Zmax_m","K+secchi_m+Zmax_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",398.144450502447,407.293553069129,0.25187,NA,17,7,2.784,2.784,0.029,0.029,0,0,1,0,0,0,0,0,1,1,0,0,0
"Aulacoseira.alpigena.Mg+secchi_m+Zmax_m","Mg+secchi_m+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",398.492925852432,407.642028419114,0.25484,NA,17,7,3.133,3.133,0.024,0.024,0,1,0,0,0,0,0,0,1,1,0,0,0
"Aulacoseira.alpigena.bare_rock+Ca","bare_rock+Ca","s(bare_rock, k = 5, bs = ""cr"") + s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",398.959353053393,408.159268140419,0.31743,NA,13,6,3.599,3.65,0.019,0.019,1,0,0,0,0,0,0,0,0,0,0,0,1
