"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Achnanthidium.affine.waterT","waterT","s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.965767599979,245.287923778776,0.21005,NA,9,2,10.918,10.041,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,1
"Achnanthidium.affine.Ca+erosion_prop+waterT","Ca+erosion_prop+waterT","s(Ca, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.972687353413,246.121789920095,0.47109,NA,17,8,10.925,10.874,0.001,0.001,1,0,0,0,0,0,0,1,0,0,0,1
"Achnanthidium.affine.Altitude+Si","Altitude+Si","s(Altitude, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.97851413752,246.178429224546,0.22098,NA,13,5,10.931,10.931,0.001,0.001,0,0,0,0,1,1,0,0,0,0,0,0
"Achnanthidium.affine.Mg","Mg","s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.036304729397,245.358460908194,0.20864,NA,9,2,10.989,10.111,0.001,0.001,0,1,0,0,0,0,0,0,0,0,0,0
"Achnanthidium.affine.Altitude+erosion_prop+Fe","Altitude+erosion_prop+Fe","s(Altitude, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.17185274708,246.320955313761,0.36438,NA,17,8,11.124,11.074,0.001,0.001,0,0,0,0,0,1,1,1,0,0,0,0
"Achnanthidium.affine.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.350690719073,246.550605806099,0.22703,NA,13,3,11.303,11.303,0.001,0.001,0,0,0,0,0,0,1,0,0,0,1,0
"Achnanthidium.affine.Fe+lake_catch_ratio","Fe+lake_catch_ratio","s(Fe, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.39254916254,246.592464249565,0.26727,NA,13,5,11.345,11.345,0.001,0.001,0,0,0,0,0,0,1,0,0,1,0,0
"Achnanthidium.affine.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.457837216812,246.657752303837,0.33591,NA,13,2,11.41,11.41,0.001,0.001,1,0,0,0,0,0,0,0,0,0,0,1
"Achnanthidium.affine.erosion_prop+Fe+secchi_m","erosion_prop+Fe+secchi_m","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.542015129675,246.691117696357,0.41673,NA,17.01,7,11.495,11.444,0.001,0.001,0,0,0,0,0,0,1,1,1,0,0,0
"Achnanthidium.affine.Altitude+Fe","Altitude+Fe","s(Altitude, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.5725239764,246.772439063426,0.23672,NA,13,6,11.525,11.525,0.001,0.001,0,0,0,0,0,1,1,0,0,0,0,0
"Achnanthidium.affine.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.634703174246,246.834618261271,0.27838,NA,13,4,11.587,11.587,0.001,0.001,0,1,0,0,0,0,0,0,0,1,0,0
"Achnanthidium.affine.secchi_m+Si","secchi_m+Si","s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.695123056867,246.895038143892,0.11036,NA,13,4,11.648,11.648,0.001,0.001,0,0,0,0,1,0,0,0,1,0,0,0
"Achnanthidium.affine.erosion_prop+Fe+mix_event","erosion_prop+Fe+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",237.905973769953,247.055076336635,0.3675,NA,17,7,11.859,11.808,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"Achnanthidium.affine.Mg+mix_event","Mg+mix_event","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.118508254887,247.318423341913,0.22337,NA,13,2,12.071,12.071,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Achnanthidium.affine.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.148946019189,247.348861106214,0.22684,NA,13,5,12.101,12.101,0,0,0,1,0,0,0,1,0,0,0,0,0,0
